Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-027-0024,36.419994,-117.836753,1133.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0025,36.366319,-117.897609,1104.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0026,36.361932,-118.01068000000001,1104.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0027,37.407244,-118.345308,1500.0,COMMERCIAL,RURAL,California,Inyo,27,Laws,"Bishop, CA"
06-027-0028,36.54314,-117.941827,1098.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0029,36.542229,-117.990067,1612.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0030,36.458104,-117.85188799999999,1103.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0031,36.607215000000004,-118.05473,1612.0,RESIDENTIAL,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-0101,36.508611,-116.847778,125.0,DESERT,RURAL,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-1001,36.049402,-117.943927,1027.0,,,California,Inyo,27,Not in a City,"Bishop, CA"
06-027-1002,36.483824,-117.86785800000001,1097.0,UNKNOWN,UNKNOWN,California,Inyo,27,Keeler,"Bishop, CA"
06-027-1003,36.487823,-117.871036,1097.0,RESIDENTIAL,RURAL,California,Inyo,27,Keeler,"Bishop, CA"
06-027-1004,37.358540000000005,-118.39483200000001,4120.0,COMMERCIAL,URBAN AND CENTER CITY,California,Inyo,27,Bishop,"Bishop, CA"
06-027-1014,36.043833,-117.94702099999999,0.0,DESERT,RURAL,California,Inyo,27,Coso Junction,"Bishop, CA"
06-027-1018,36.595556,-118.049167,1128.0,DESERT,RURAL,California,Inyo,27,Lone Pine,"Bishop, CA"
06-027-1023,37.362137,-118.417478,1288.55,RESIDENTIAL,RURAL,California,Inyo,27,Bishop,"Bishop, CA"
06-027-1028,36.834957,-118.226677,1201.04,DESERT,RURAL,California,Inyo,27,Independence,"Bishop, CA"
06-027-1033,37.155494,-118.293547,1236.0,RESIDENTIAL,RURAL,California,Inyo,27,Big Pine,"Bishop, CA"
06-027-2000,37.155442,-118.29448000000001,1236.0,RESIDENTIAL,RURAL,California,Inyo,27,Big Pine,"Bishop, CA"
06-029-0001,35.383592,-119.01759799999999,123.0,INDUSTRIAL,SUBURBAN,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0002,35.382203000000004,-118.971763,154.0,RESIDENTIAL,SUBURBAN,California,Kern,29,Not in a City,"Bakersfield, CA"
06-029-0003,35.383014,-118.9726,152.0,RESIDENTIAL,SUBURBAN,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0004,35.374959000000004,-119.022602,137.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0005,35.573287,-118.528976,705.0,UNKNOWN,UNKNOWN,California,Kern,29,Miracle Hot Springs (Hobo Hot Springs),"Bakersfield, CA"
06-029-0006,35.312186,-119.61762399999999,324.0,INDUSTRIAL,RURAL,California,Kern,29,McKittrick,"Bakersfield, CA"
06-029-0007,35.345607,-118.851825,425.0,AGRICULTURAL,RURAL,California,Kern,29,Not in a City,"Bakersfield, CA"
06-029-0008,35.051454,-119.40262,289.0,RESIDENTIAL,SUBURBAN,California,Kern,29,Maricopa,"Bakersfield, CA"
06-029-0009,35.36107,-119.060103,120.0,COMMERCIAL,URBAN AND CENTER CITY,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0010,35.385574,-119.015009,151.0,COMMERCIAL,URBAN AND CENTER CITY,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0011,35.050551,-118.14729399999999,853.0,MOBILE,RURAL,California,Kern,29,Mojave,"Bakersfield, CA"
06-029-0012,35.630234,-117.66978600000002,723.0,MOBILE,URBAN AND CENTER CITY,California,Kern,29,Ridgecrest,"Bakersfield, CA"
06-029-0013,35.651343,-117.826457,759.0,COMMERCIAL,RURAL,California,Kern,29,Inyokern,"Bakersfield, CA"
06-029-0014,35.356615000000005,-119.06261299999998,0.0,MOBILE,URBAN AND CENTER CITY,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0015,35.62109,-117.67296,701.0,COMMERCIAL,URBAN AND CENTER CITY,California,Kern,29,Ridgecrest,"Bakersfield, CA"
06-029-0016,35.324636,-118.99762700000001,0.0,COMMERCIAL,SUBURBAN,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-0017,35.727709999999995,-118.13774,914.4,DESERT,RURAL,California,Kern,29,Not in a City,"Bakersfield, CA"
06-029-0018,35.642943,-117.715066,717.0,DESERT,URBAN AND CENTER CITY,California,Kern,29,Ridgecrest,"Bakersfield, CA"
06-029-0019,35.046528,-118.162833,853.0,MOBILE,RURAL,California,Kern,29,Mojave,"Bakersfield, CA"
06-029-0230,35.431067999999996,-119.021767,168.0,RESIDENTIAL,SUBURBAN,California,Kern,29,Oildale,"Bakersfield, CA"
06-029-0231,35.434678999999996,-119.013434,134.0,RESIDENTIAL,SUBURBAN,California,Kern,29,Oildale,"Bakersfield, CA"
06-029-0232,35.438035,-119.01678700000001,180.0,INDUSTRIAL,SUBURBAN,California,Kern,29,Oildale,"Bakersfield, CA"
06-029-1001,35.624678,-117.670897,697.0,,RURAL,California,Kern,29,China Lake (Naval Weapons Center),"Bakersfield, CA"
06-029-1002,35.003586999999996,-117.65033700000001,747.0,COMMERCIAL,RURAL,California,Kern,29,Boron,"Bakersfield, CA"
06-029-1003,35.208319,-118.876203,122.0,AGRICULTURAL,RURAL,California,Kern,29,Not in a City,"Bakersfield, CA"
06-029-1004,35.221928000000005,-119.11121000000001,99.0,AGRICULTURAL,RURAL,California,Kern,29,Not in a City,"Bakersfield, CA"
06-029-1005,35.133299,-118.425918,1167.0,AGRICULTURAL,RURAL,California,Kern,29,Tehachapi,"Bakersfield, CA"
06-029-2001,35.770234,-119.586234,98.0,,RURAL,California,Kern,29,Kern City,"Bakersfield, CA"
06-029-2003,35.1433,-119.465675,300.0,RESIDENTIAL,RURAL,California,Kern,29,Taft,"Bakersfield, CA"
06-029-2004,35.142189,-119.460952,292.0,COMMERCIAL,SUBURBAN,California,Kern,29,Taft,"Bakersfield, CA"
06-029-2009,34.841567,-118.86058799999999,1063.14,AGRICULTURAL,RURAL,California,Kern,29,Not in a City,"Bakersfield, CA"
06-029-2012,35.331612,-118.99996100000001,145.0,COMMERCIAL,URBAN AND CENTER CITY,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-2019,35.376953,-119.043889,87.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Kern,29,Bakersfield,"Bakersfield, CA"
06-029-3001,35.046914,-118.165631,841.0,COMMERCIAL,RURAL,California,Kern,29,Mojave,"Bakersfield, CA"
06-029-3002,35.066635999999995,-118.150908,3065.0,DESERT,RURAL,California,Kern,29,Mojave,"Bakersfield, CA"
06-029-4001,35.14665,-119.46066200000001,294.0,RESIDENTIAL,SUBURBAN,California,Kern,29,Taft,"Bakersfield, CA"
06-029-5001,35.208295,-118.785374,145.0,AGRICULTURAL,RURAL,California,Kern,29,Arvin,"Bakersfield, CA"
06-029-5002,35.23918,-118.78863,145.0,AGRICULTURAL,RURAL,California,Kern,29,Arvin,"Bakersfield, CA"
06-029-6001,35.503586999999996,-119.27260600000001,126.0,COMMERCIAL,SUBURBAN,California,Kern,29,Shafter,"Bakersfield, CA"
06-029-9000,35.003586999999996,-117.652004,750.0,DESERT,RURAL,California,Kern,29,Boron,"Bakersfield, CA"
06-029-9001,34.821922,-118.887598,1.0,MOBILE,RURAL,California,Kern,29,Lebec,"Bakersfield, CA"
06-029-9002,34.828839,-118.88005600000001,1.0,MOBILE,RURAL,California,Kern,29,Lebec,"Bakersfield, CA"
06-029-9901,35.698679999999996,-118.20301299999998,914.0,FOREST,RURAL,California,Kern,29,Onyx,"Bakersfield, CA"
06-029-9902,35.727779999999996,-118.13861200000001,927.0,FOREST,RURAL,California,Kern,29,Not in a City,"Bakersfield, CA"
06-031-0001,36.052739,-119.570676,62.0,RESIDENTIAL,RURAL,California,Kings,31,Not in a City,"Hanford-Corcoran, CA"
06-031-0002,36.09884,-119.559568,62.0,AGRICULTURAL,RURAL,California,Kings,31,Corcoran,"Hanford-Corcoran, CA"
06-031-0003,36.086062,-119.563457,61.0,,,California,Kings,31,Corcoran,"Hanford-Corcoran, CA"
06-031-0004,36.102244,-119.56565,61.0,RESIDENTIAL,SUBURBAN,California,Kings,31,Corcoran,"Hanford-Corcoran, CA"
06-031-0100,36.10884,-119.600125,15.0,AGRICULTURAL,RURAL,California,Kings,31,Corcoran,"Hanford-Corcoran, CA"
06-031-0500,36.233274,-119.76621200000001,68.0,AGRICULTURAL,RURAL,California,Kings,31,Not in a City,"Hanford-Corcoran, CA"
06-031-1001,36.282171999999996,-119.645128,79.0,COMMERCIAL,URBAN AND CENTER CITY,California,Kings,31,Hanford,"Hanford-Corcoran, CA"
06-031-1002,36.007175,-119.959855,75.0,AGRICULTURAL,RURAL,California,Kings,31,Kettleman City,"Hanford-Corcoran, CA"
06-031-1003,36.006896999999995,-119.959855,30.0,AGRICULTURAL,RURAL,California,Kings,31,Kettleman City,"Hanford-Corcoran, CA"
06-031-1004,36.315670000000004,-119.643447,99.0,RESIDENTIAL,SUBURBAN,California,Kings,31,Hanford,"Hanford-Corcoran, CA"
06-031-1007,36.314122,-119.632903,71.0,RESIDENTIAL,SUBURBAN,California,Kings,31,Hanford,"Hanford-Corcoran, CA"
06-031-2001,36.041628,-119.64678799999999,79.0,AGRICULTURAL,RURAL,California,Kings,31,Not in a City,"Hanford-Corcoran, CA"
06-033-0002,39.155724,-122.845549,415.0,AGRICULTURAL,RURAL,California,Lake,33,Kelseyville,"Clearlake, CA"
06-033-0003,39.172112,-122.906107,413.0,AGRICULTURAL,RURAL,California,Lake,33,Upper Lake,"Clearlake, CA"
06-033-1001,38.956286999999996,-122.647485,403.0,COMMERCIAL,URBAN AND CENTER CITY,California,Lake,33,Clearlake Highlands,"Clearlake, CA"
06-033-2001,39.048761999999996,-122.916082,413.0,RESIDENTIAL,SUBURBAN,California,Lake,33,Lakeport,"Clearlake, CA"
06-033-3001,39.0327,-122.92228999999999,421.0,MOBILE,SUBURBAN,California,Lake,33,Lakeport,"Clearlake, CA"
06-033-3002,39.01893,-122.91333,409.0,MOBILE,SUBURBAN,California,Lake,33,Lakeport,"Clearlake, CA"
06-033-3010,38.77453,-122.6995,435.0,FOREST,RURAL,California,Lake,33,Middletown,"Clearlake, CA"
06-033-3011,38.848459999999996,-122.75797,736.0,FOREST,RURAL,California,Lake,33,Cobb,"Clearlake, CA"
06-033-3012,38.85022,-122.7362,978.0,FOREST,RURAL,California,Lake,33,Cobb,"Clearlake, CA"
06-033-3013,38.851292,-122.741657,800.0,FOREST,RURAL,California,Lake,33,Not in a city,"Clearlake, CA"
06-035-1001,40.412396,-120.633283,1280.0,RESIDENTIAL,SUBURBAN,California,Lassen,35,Susanville,"Susanville, CA"
06-037-0001,34.104175,-118.409246,195.0,UNKNOWN,UNKNOWN,California,Los Angeles,37,Beverly Hills,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0002,34.1365,-117.92391,183.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Azusa,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0003,34.10391,-117.86894299999999,206.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Charter Oak,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0004,34.233336,-118.050901,1739.0,UNKNOWN,UNKNOWN,California,Los Angeles,37,Mount Wilson (Mt. Wilson Observatory),"Los Angeles-Long Beach-Anaheim, CA"
06-037-0005,34.136687,-117.860887,3.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0008,34.130297999999996,-117.867554,238.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0009,34.136687,-117.860887,3.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0016,34.14435,-117.85036000000001,275.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0017,34.064186,-118.20728500000001,102.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0018,34.070009999999996,-118.068401,78.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,El Monte,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0019,33.342251,-118.323128,3.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Avalon,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0022,34.083073999999996,-118.29562,88.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0030,34.035278000000005,-118.21666699999999,65.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0031,33.786111,-118.246389,0.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,West Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0102,34.017241,-118.43451200000001,35.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0103,33.775026000000004,-118.355166,21.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0113,34.051109999999994,-118.45636,91.0,MOBILE,URBAN AND CENTER CITY,California,Los Angeles,37,West Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0201,33.886404999999996,-118.268128,0.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Carson,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0202,34.005291,-118.17673799999999,0.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Commerce,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0203,34.041678000000005,-118.03978899999998,0.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Industry (corporate name for City of Industry),"Los Angeles-Long Beach-Anaheim, CA"
06-037-0204,34.041121999999994,-118.040067,0.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Industry (corporate name for City of Industry),"Los Angeles-Long Beach-Anaheim, CA"
06-037-0205,34.006681,-118.19229399999999,0.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Commerce,"Los Angeles-Long Beach-Anaheim, CA"
06-037-0206,33.958346,-117.84256,300.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Diamond Bar,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1001,34.181959,-118.328122,180.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Burbank,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1002,34.17605,-118.31711999999999,168.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Burbank,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1003,34.133074,-118.124227,221.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Pasadena,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1004,34.149451,-118.12451499999999,255.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Pasadena,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1101,34.058345,-118.25090700000001,64.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1102,34.044742,-118.24283999999999,78.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1103,34.066590000000005,-118.22688000000001,87.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1104,34.058345,-118.25090700000001,58.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1105,34.058345,-118.25090700000001,37.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,West Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1106,34.051398999999996,-118.3848,41.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,West Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1201,34.19925,-118.53276000000001,226.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Reseda,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1301,33.92899,-118.21071,27.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lynwood,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1302,33.901389,-118.205,27.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Compton,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1401,34.386109000000005,-118.53258600000001,383.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Santa Clarita,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1402,34.217929999999996,-118.48756999999999,27.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1403,33.954952,-118.055768,44.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Santa Fe Springs,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1404,34.02637,-117.9822,91.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Industry (corporate name for City of Industry),"Los Angeles-Long Beach-Anaheim, CA"
06-037-1405,34.006389,-118.193056,53.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Vernon,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1406,34.008333,-118.190556,53.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Commerce,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1501,34.154728999999996,-118.132571,91.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Pasadena,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1601,34.014070000000004,-118.06056000000001,75.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Pico Rivera,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1602,34.010290000000005,-118.0685,75.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Pico Rivera,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1701,34.067029999999995,-117.7514,270.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Pomona,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1801,33.856412,-118.38450900000001,62.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Redondo Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1901,34.005575,-118.480069,34.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Santa Monica,"Los Angeles-Long Beach-Anaheim, CA"
06-037-1902,34.106396999999994,-118.41424599999999,191.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Santa Monica Mountains National Recreation Area,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2001,33.920021999999996,-118.406732,53.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,El Segundo,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2002,34.186395000000005,-118.24590800000001,737.0,RESIDENTIAL,RURAL,California,Los Angeles,37,Glendale,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2005,34.1326,-118.1272,250.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Pasadena,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2101,34.105841,-118.06868,128.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Temple City (Rudell),"Los Angeles-Long Beach-Anaheim, CA"
06-037-2103,34.200014,-118.500905,219.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2201,33.831692,-118.32561799999999,46.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Torrance,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2301,34.081964,-118.017835,155.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,El Monte,"Los Angeles-Long Beach-Anaheim, CA"
06-037-2401,33.923625,-118.02561999999999,58.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Whittier,"Los Angeles-Long Beach-Anaheim, CA"
06-037-3001,34.147795,-118.24812,174.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Glendale,"Los Angeles-Long Beach-Anaheim, CA"
06-037-3002,34.111132,-117.84810900000001,79.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA"
06-037-3101,34.058352,-118.250897,70.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4001,34.144742,-117.849498,271.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Glendora,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4002,33.82376,-118.18921,6.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Long Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4004,33.792359999999995,-118.17533,6.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Long Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4006,33.8025,-118.22,10.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Long Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4008,33.859662,-118.20070700000001,12.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Long Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4009,33.793713000000004,-118.171019,8.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Signal Hill,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4010,34.181977,-118.36303600000001,198.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-4101,34.426663,-118.496751,383.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Santa Clarita,"Los Angeles-Long Beach-Anaheim, CA"
06-037-5001,33.92288,-118.37026000000002,21.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA"
06-037-5002,34.040851,-118.42895700000001,62.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-5005,33.95507,-118.43048999999999,21.0,RESIDENTIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-5501,33.941559999999996,-118.3658,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lennox,"Los Angeles-Long Beach-Anaheim, CA"
06-037-5502,34.08723,-118.02784,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,El Monte,"Los Angeles-Long Beach-Anaheim, CA"
06-037-5503,34.03168,-118.21673999999999,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-6001,33.930855,-118.36700900000001,24.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA"
06-037-6002,34.387498,-118.53453,375.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Santa Clarita,"Los Angeles-Long Beach-Anaheim, CA"
06-037-6012,34.38344,-118.5284,397.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,Santa Clarita,"Los Angeles-Long Beach-Anaheim, CA"
06-037-7001,34.712206,-118.140073,709.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lancaster,"Los Angeles-Long Beach-Anaheim, CA"
06-037-7002,34.137240000000006,-118.12339399999999,91.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Pasadena,"Los Angeles-Long Beach-Anaheim, CA"
06-037-8001,33.930292,-118.369798,32.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lennox,"Los Angeles-Long Beach-Anaheim, CA"
06-037-8002,34.014741,-118.44534499999999,34.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9000,34.37892,-117.69211000000001,2106.0,FOREST,RURAL,California,Los Angeles,37,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9001,33.80447,-118.193114,5.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Long Beach,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9002,34.689985,-118.13285,725.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lancaster,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9003,34.207506,-117.763391,1150.0,FOREST,RURAL,California,Los Angeles,37,Tanbark Flats,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9004,34.071677,-118.06478999999999,45.0,COMMERCIAL,SUBURBAN,California,Los Angeles,37,El Monte,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9005,34.086676000000004,-118.0209,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,El Monte,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9006,34.556934999999996,-118.112573,841.0,DESERT,RURAL,California,Los Angeles,37,Palmdale,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9033,34.669739,-118.13051100000001,725.0,COMMERCIAL,URBAN AND CENTER CITY,California,Los Angeles,37,Lancaster,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9034,34.813034,-118.884819,1.0,MOBILE,RURAL,California,Los Angeles,37,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9401,33.74473,-118.26114799999999,3.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9403,33.71405,-118.27418600000001,3.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9405,33.740983,-118.280069,3.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9407,33.778831,-118.2696,3.0,INDUSTRIAL,SUBURBAN,California,Los Angeles,37,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-037-9934,34.296915000000006,-118.02909299999999,1791.0,FOREST,RURAL,California,Los Angeles,37,Not in a City,"Los Angeles-Long Beach-Anaheim, CA"
06-039-0001,36.954669,-120.037383,82.0,COMMERCIAL,URBAN AND CENTER CITY,California,Madera,39,Madera,"Madera, CA"
06-039-0002,36.954390999999994,-120.03766100000001,60.0,AGRICULTURAL,RURAL,California,Madera,39,Madera,"Madera, CA"
